"filename", "language", "Dart", "YAML", "JSON", "C++", "CMake", "Markdown", "Swift", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\controller_layer.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 23
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\controller_parser.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 13
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\errors\exceptions\Exceptions.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\presenter_shoud_add_data.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 6, 44
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\presenter_should_remove.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 6, 43
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\presenter_should_update.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 6, 45
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\real_time_parser.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\service.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\should_add_data.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 28
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\should_remove.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 4, 28
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\should_update.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 3, 27
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\variables_disposer.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 6
"c:\Users\ninob\Documents\stockcontrollerterminal\lib\Utils\interfaces\variables_initializer.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 9
